product_name,product_url,objects_extracted
Bracelets for Girls and Boys | Leather Bracelet for Girls,https://m.media-amazon.com/images/I/51c1rR4CbOL._AC_UL480_FMwebp_QL65_.jpg,['Bracelet']
Men's Fashion Jewellery Combo Pack of 4 Stainless Steel Solid,https://m.media-amazon.com/images/I/61GHkfAZMRL._AC_UL480_FMwebp_QL65_.jpg,"['Necklace', 'Necklace', 'Necklace', 'Necklace']"
Men's Jewellery Black Silver Chain For Men Boys,https://m.media-amazon.com/images/I/612xOm1X6LL._AC_UL480_FMwebp_QL65_.jpg,['Necklace']
Men's Jewellery 3D Cuboid Vertical Bar/Stick Stainless,https://m.media-amazon.com/images/I/51QCXW-lhxL._AC_UL480_FMwebp_QL65_.jpg,"['Necklace', 'Necklace']"
Gift Men's Stainless Steel Cross Pendant Lord's Prayer Gold,https://m.media-amazon.com/images/I/616TArDJB7L._AC_UL480_FMwebp_QL65_.jpg,"['White', 'Necklace', 'Font', 'Jewellery', 'Symbol', 'Body jewelry', 'Badge', 'Circle', 'Pattern', 'Fashion accessory', 'Metal']"
LION KING HEAD - Alloy Pendant with Stainless Steel,https://m.media-amazon.com/images/I/71t26JUbTXL._AC_UL480_FMwebp_QL65_.jpg,['Necklace']
Bamboo Socks for Men,https://m.media-amazon.com/images/I/81pdj8cq70L._SX679_.jpg,"['Sock', 'Sock', 'Sock']"
Bamboo Crew Socks for Men,https://m.media-amazon.com/images/I/81kYos-YtGL._SX679_.jpg,"['Sock', 'Sock', 'Sock']"
Rio Premium Cotton Ankle Socks for Men and Women,https://m.media-amazon.com/images/I/81FTipXrZIL._SX679_.jpg,"['Sock', 'Sock', 'Sock', 'Sock', 'Sock']"
Bamboo Socks for Men,https://m.media-amazon.com/images/I/91imPb7haXL._SX679_.jpg,"['Sock', 'Sock', 'Shoe']"
12 Pairs Solid Cotton Ankle Length Socks for Men,https://m.media-amazon.com/images/I/81TRdxk1wnL._SY741_.jpg,"['Sock', 'Sock', 'Sock', 'Sock', 'Sock']"
Polyester 5 Pairs Solid Ankle Length Socks For Men,https://m.media-amazon.com/images/I/A10JGz2JOZL._AC_UL480_FMwebp_QL65_.jpg,"['Sock', 'Sock', 'Sock', 'Sock', 'Sock']"
Mens Cotton Ankle Length Socks (Pack of 3) Dark Grey,https://m.media-amazon.com/images/I/51P0U7RknsL._AC_UL480_FMwebp_QL65_.jpg,['Sock']
Sports Ankle Cotton Socks | Free Size,https://m.media-amazon.com/images/I/81SEVBzTWhL._AC_UL480_FMwebp_QL65_.jpg,"['Sock', 'Sock', 'Sock', 'Sock', 'Sock']"
