product_name,product_url,object,label
"SHW Home Office 32-Inch Computer Desk, Black",https://m.media-amazon.com/images/I/41wT18b9nJL._AC_UL480_FMwebp_QL65_.jpg,"['Table', 'Furniture', 'Rectangle', 'Line', 'Parallel', 'Plywood', 'Outdoor furniture', 'Wood', 'Transparent material', 'Outdoor table']","['Table', 'Furniture', 'Rectangle', 'Line', 'Parallel', 'Plywood', 'Outdoor furniture', 'Wood', 'Transparent material', 'Outdoor table']"
"HOOBRO Side Table, 3-Tier Narrow End Table, Nightstand with 2 Flat or Slant Adjustable Shelves for Small Spaces",https://m.media-amazon.com/images/I/71dLfRcfU5L._AC_UL480_FMwebp_QL65_.jpg,"['Furniture', 'White', 'Black', 'Rectangle', 'Table', 'Outdoor furniture', 'Natural material', 'Gas', 'Metal', 'Wood']","['Furniture', 'White', 'Black', 'Rectangle', 'Table', 'Outdoor furniture', 'Natural material', 'Gas', 'Metal', 'Wood']"
ZIUMIER Gaming Headset with Microphone,https://m.media-amazon.com/images/I/71nh1VxLzuL._AC_UY327_FMwebp_QL65_.jpg,['Headphones'],"['Output device', 'Peripheral', 'Gadget', 'Audio equipment', 'Font', 'Headphones', 'Communication Device', 'Electronic device', 'Magenta', 'Multimedia']"
EKSA E900 Headset with Microphone for PC,https://m.media-amazon.com/images/I/71N6Oge0ntL._AC_UY327_FMwebp_QL65_.jpg,['Headphones'],"['Peripheral', 'Output device', 'White', 'Purple', 'Communication Device', 'Audio equipment', 'Violet', 'Gadget', 'Material property', 'Font']"
Jabra Evolve 40 Professional Wired Headset,https://m.media-amazon.com/images/I/61apHvYK6GL._AC_UY327_FMwebp_QL65_.jpg,['Headphones'],"['Peripheral', 'Output device', 'Gadget', 'Communication Device', 'Audio equipment', 'Ear', 'Font', 'Material property', 'Headphones', 'Electronic device']"
Logitech H390 Wired Headset for PC/Laptop,https://m.media-amazon.com/images/I/61jBnY6paeL._AC_UY327_FMwebp_QL65_.jpg,['Headphones'],"['Peripheral', 'Output device', 'Ear', 'Gadget', 'Audio equipment', 'Headphones', 'Communication Device', 'Headset', 'Font', 'Fashion accessory']"
BENGOO G9000 Stereo Gaming Headset for PS4 PC Xbox One PS5 Controller,https://m.media-amazon.com/images/I/61CGHv6kmWL._AC_UY327_FMwebp_QL65_.jpg,['Headphones'],"['Peripheral', 'Sports gear', 'Automotive design', 'Font', 'Gadget', 'Electric blue', 'Audio equipment', 'Paint', 'Personal protective equipment', 'Poster']"
"Gaming Headset for PC, PS4, PS5, Xbox Headset",https://m.media-amazon.com/images/I/712OyBPPL0L._AC_UY327_FMwebp_QL65_.jpg,['Headphones'],"['Peripheral', 'Output device', 'Gadget', 'Audio equipment', 'Font', 'Communication Device', 'Headphones', 'Electronic device', 'Input device', 'Technology']"
"Headset wtih Mic, USB Headset with Microphone for PC",https://m.media-amazon.com/images/I/719zL67IK7L._AC_UY327_FMwebp_QL65_.jpg,['Headphones'],"['White', 'Output device', 'Peripheral', 'Audio equipment', 'Gadget', 'Electronic device', 'Event', 'Font', 'Headphones', 'Communication Device']"
Sony MDREX15AP In-Ear Earbud Headphones with Mic,https://m.media-amazon.com/images/I/61AZ9rCOSZL._AC_UY327_FMwebp_QL65_.jpg,"['Headphones', 'Headphones']","['Microphone', 'Product', 'Peripheral', 'Audio equipment', 'Gadget', 'Output device', 'Font', 'Headphones', 'Electronic device', 'Ear']"
LUDOS FEROX Wired Earbuds in-Ear Headphones,https://m.media-amazon.com/images/I/51HfzWPM6eL._AC_UY327_FMwebp_QL65_.jpg,"['Headphones', 'Headphones']","['Microphone', 'White', 'Product', 'Audio equipment', 'Gadget', 'Output device', 'Peripheral', 'Material property', 'Font', 'Ear']"
ZEBRONICS Thunder Bluetooth 5.3 Wireless Over ear Headphones with 60H Backup,https://m.media-amazon.com/images/I/61smYWXWx9L._AC_UY218_.jpg,['Headphones'],"['Gadget', 'Font', 'Aqua', 'Ear', 'Magenta', 'Electric blue', 'Circle', 'Symbol', 'Fashion accessory', 'Plastic']"
Rockerz 450 Iron Man,https://www.boat-lifestyle.com/cdn/shop/products/450im_600x.png,['Headphones'],"['Output device', 'Peripheral', 'Gadget', 'Audio equipment', 'Headphones', 'Font', 'Electronic device', 'Magenta', 'Circle', 'Fashion accessory']"
Rockerz 450 Black Panther Marvel Edition,https://www.boat-lifestyle.com/cdn/shop/products/450bp_600x.png,['Headphones'],"['Output device', 'Peripheral', 'Audio equipment', 'Communication Device', 'Violet', 'Ear', 'Gadget', 'Font', 'Headphones', 'Magenta']"
FIRSTBLOOD ONLY GAME. AJ52 Watcher RGB Gaming Mouse,https://m.media-amazon.com/images/I/51WaY1BLs8L._AC_UY327_FMwebp_QL65_.jpg,['Mouse'],"['Product', 'Sleeve', 'Dress shirt', 'Collar', 'Triangle', 'T-shirt', 'Cap', 'Bag', 'Headgear', 'Aqua']"
"Redragon M612 Predator RGB Gaming Mouse, 8000 DPI",https://m.media-amazon.com/images/I/61vF4LdktpL._AC_UY327_FMwebp_QL65_.jpg,['Mouse'],"['Peripheral', 'Input device', 'Mouse', 'Computer hardware', 'Helmet', 'Font', 'Magenta', 'Computer component', 'Electric blue', 'Personal computer hardware']"
Razer Basilisk V3 Customizable Ergonomic Gaming Mouse,https://m.media-amazon.com/images/I/71QbOWMcP9L._AC_UY327_FMwebp_QL65_.jpg,['Mouse'],"['Peripheral', 'Input device', 'Plant', 'Gadget', 'Font', 'Computer hardware', 'Electronic device', 'Personal computer hardware', 'Home appliance', 'Logo']"
"Redragon Gaming Mouse, Wireless Mouse Gaming with 8000 DPI",https://m.media-amazon.com/images/I/61QY3V6A-NL._AC_UY327_FMwebp_QL65_.jpg,"['Mouse', 'Home appliance']","['Peripheral', 'Input device', 'Gadget', 'Output device', 'Font', 'Technology', 'Electronic device', 'Computer hardware', 'Multimedia', 'Magenta']"
